word,kanji,meaning,type
さあ,さあ,哎,感
さい,差異,差异,名
ざしき,座敷,房间/客厅,名
ざせき,座席,座位,名
ざぜん,座禅,坐禅,名
ざたく,座卓,矮卓,名
ざだん,座談,座谈,名/自三
ざぶとん,座布団,坐垫,名
さい,最,最,接头
さい,祭,祭/日,接尾
さい,際,时候/机会,名
さい,歳,岁/年龄,名
さい,採,色子,名
さい,犀,犀牛,名
さいか,災禍,灾难,名
さいなん,災難,灾难,名
さいやく,災厄,灾难,名
さいあく,最悪,最坏/不利,名
さいか,最下,最下等/最次,名
さいきょう,最強,最强,名
さいこ,最古,最古/最老,名
さいご,最後,最后,名
さいご,最期,临终,名
さいこう,最高,最高/无尚,名/形动
さいこうちょう,最高潮,最高潮,名
さいしゅう,最終,最后,名
さいしょ,最初,最初/开始,名
さいしょう,最小,最小,名
さいしょう,最少,最少,名
さいじょう,最上,最上/最高,名
さいしょうげん,最小限,最小限度,名
さいしん,最新,最新,名
さいせい,最盛,最盛,名
さいぜん,最善,最善/最好,名
さいぜん,最前,最前面/刚才,名
さいせんたん,最先端,尖端/最新,名
さいた,最多,最多,名
さいだい,最大,最大,名
さいたん,最短,最短,名
さいちゅう,最中,正当时/繁盛期,名
さいちょう,最長,最长,名
さいてい,最低,最差/最坏,名
さいてき,最適,最适合/最适度,名
さいねんしょう,最年少,年纪最小,名
さいねんちょう,最年長,年纪最大,名
さいかい,再開,重开,名/自他三
さいかん,再刊,复刊/再版,名/他三
さいき,再起,再度发生,名/自三
さいきょ,再挙,卷土重来,名/自三
さいけん,再建,重建,名/他三
さいげん,再現,再现,名/自他三
さいこう,再考,重新考虑,名/他三
さいこう,再興,恢复/重建,名/自他三
さいこん,再婚,再婚,名/自三
さいさん,再三,再三/屡次,副
さいしん,再審,重审,名/他三
さいせい,再生,重生/播放,名/自他三
さいせん,再選,再次当选,名/他三
さいてん,再転,形势再变,名/自三
さいど,再度,再次,名
さいどく,再読,重读,名
さいにん,再任,连任,名
さいはん,再版,再版,名/他三
さいへん,再編,重新编制,名/自三
ざいい,在位,在位,名
ざいか,在荷,存货,名
ざいがい,在外,在国外,名
ざいきょう,在京,在东京,名/自三
ざいきょう,在郷,在故乡,名/自三
ざいきん,在勤,在职,名/自三
ざいこ,在庫,库存,名/自三
ざいこう,在校,在校,名/自三
ざいじゅう,在住,居住,名/自三
ざいしょく,在職,在职,名
ざいせい,在世,在世,名
ざいせき,在籍,在籍,名/自三
ざいたく,在宅,在家,名
ざいにん,在任,在职/在位,名/自三
さいく,細工,工艺品/玩花招,名/他三
さいくん,細君,老婆,名
さいじ,細事,小事/详情,名
さいそく,細則,细则,名
さいぶ,細部,细部,名
さいぼう,細胞,细胞,名
さいみつ,細密,细密/精密,名/形动
さいもく,細目,细木/细节,名
さいだん,裁断,裁决,名/他三
さいてい,裁定,裁决,名/他三
さいばん,裁判,判断/审判,名/他三
さいばんかん,裁判官,法官,名
さいばんしょ,裁判所,法院,名
さいほう,裁縫,裁缝/阵线活,名/自三
さいりょう,裁量,定夺/酌量处理,名/自三
さいじき,歳時記,岁时记,名
さいまつ,歳末,年底,名
さいくつ,採掘,挖掘,名/他三
さいけつ,採血,抽血,名
さいこう,採光,采光,名
さいこう,採鉱,采矿,名/自三
さいしゅ,採取,采集/录指纹,名/他三
さいしゅう,採集,采集/搜集,名/他三
さいたく,採択,采纳/通过,名/他三
さいたん,採炭,采煤,名/自三
さいてん,採点,评分/记分,名/他三
さいひ,採否,采用否,名
さいゆ,採油,榨油/采石油,名/自三
さいよう,採用,采用/采纳,名/他三
さいけん,債権,债券,名
さいむ,債務,债务,名
ざいか,財貨,财物/宝贝,名
ざいげん,財源,财源,名
ざいせい,財政,财政,名
ざいばつ,財閥,财阀,名
さいふ,財布,钱包,名
ざいほう,財宝,财宝,名
ざいむ,財務,财务,名
ざいりょく,財力,财力,名
さいだん,祭壇,祭坛,名
さいてん,祭典,祭典,名
さいえん,才媛,才女,名
さいき,才気,才华,名
さいじょ,才女,才女,名
さいち,才知,才智,名
さいわん,才腕,才能,名
ざいりょう,材料,材料/素材,名
さち,幸,幸福/自然产物,名
さえわたる,冴え渡る,清澈,自一
さえざえ,冴え冴え,非常清澈,副/自三
さかい,堺,大阪堺市,名
はんじょう,繁盛,兴隆/繁盛,名/自三
はんえい,繁栄,繁荣昌盛,名/自三
さかさ,逆さ,逆/颠倒,名/形动
さかおとし,逆落し,坠落,名
さかだち,逆立ち,倒立/竭尽全力,名/自三
さがしあてる,探し当てる,找到,他二
さがしだす,探し出す,找到/查出,他一
さかな,肴,菜肴,名
さかなや,魚屋,鱼店,名
さかば,酒場,酒馆/酒家,名
さかもり,酒盛り,酒席/酒宴,名
さげる,下げる,降低/放低/撤下,他二
さかり,盛り,全盛状态/壮年,名
さきがけ,先駆け,前奏/先驱/带头冲,名
さきごろ,先頃,前些日子,名
さきだつ,先立つ,前头/最需要,自一
さきに,先に,以前/以往,副
さきばらい,先払い,开路/预付款,名/他三
さきほど,先ほど,方才,名
さきもの,先物,期货,名
さきわたし,先渡し,先付/先交货,名
ながれさぎょう,流れ作業,流水作业,名
とっかんさぎょう,突貫作業,突击作业,名
さく,作,创作/著作/收成,名
さく,柵,栅栏,名
さく,昨,昨/前,接头
さくねん,昨年,去年,名
さくばん,昨晩,昨晚,名
さくや,昨夜,昨夜,名
さくゆう,昨夕,昨天傍晚,名
さっこん,昨今,近来,名
さくしゃ,作者,作者,名
さくせい,作成,写/作,名/他三
さくせん,作戦,作战,名
さくづけ,作付け,种植,名/他三
さくぶん,作文,作文,名
さくもつ,作物,庄稼,名
さっか,作家,作家,名
さっきょく,作曲,作曲,名
さくし,策士,策略家,名
さくする,策する,策划,他三
さけのうえ,酒の上,醉酒失态,惯
さける,避ける,躲避/消除/防范,他二
ささやか,細やか,琐事,名
ささえ,支える,支柱,名
さしあげる,差し上げる,举起/赠送,他二
ささめく,ささめく,小声说话,自一
ささる,刺さる,扎上/扎进,自一
さしみ,刺身,刺身,名
さししめす,指し示す,指示,他一
さしず,指図,指示/指名,名/他三
さしえ,挿絵,插画,名
さしあたって,差し当たって,目前/眼前,副
さしあたり,差し当たり,目前/当前,副
さしいれる,差し入れる,投入/装进,他二
さしかえる,差し替える,插换/更换,他二
さしかかる,差し掛かる,来到/路过,自一
さしこむ,差し込む,照进来/绞痛,自他一
さしさわり,差し障り,事故/妨碍,名
さしせまる,差し迫る,迫近/逼近,自一
さしだしにん,差出人,发件人,名
さしだす,差し出す,伸出/探出/发出,他一
さしつかえ,差し支え,妨害/障碍,名
さしひかえる,差し控える,等候/节制/控制,自他二
さしひき,差し引き,扣除/涨落/升降,名/自他三
さしひく,差し引く,扣除/相抵,他一
さずかる,授かる,被授予,自一
さそい,誘い,邀请/引诱,名
ゆうわく,誘惑,诱惑,名/他三
さき,左記,下列,名
させつ,左折,向左转,名/他三
させん,左遷,左迁/降职,名/他三
さゆう,左右,左右,名/他三
さだまる,定まる,定/决定/规定,自一
さだめない,定めない,不定的/无常的,形
さつ,冊,本/册,量
さつえいき,撮影機,摄影机,名
さつえいじょ,撮影所,照相馆，名
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,

